CASEID,COMPWT,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID
22674,5.30000000000000027e-01, 1,22,  0,3, 1,21,  0,2,1,22,  0,5,3,0,    0,1,22,  0,7,3,0,    0
22675,1.06000000000000005e+00, 1,60, 35,1, 1,28,  0,3,1,28,  0,7,3,0,    0,1,28,  0,7,3,0,    0
22676,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,1,14,  0,7,1,0,    0,2, 0,  0,5,2,0,    0
22677,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,1,2,0,    0,2, 0,  0,7,2,0,    0
22678,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
22679,1.06000000000000005e+00, 1,60, 64,1, 1,60, 64,1,1,60, 64,5,1,0,    0,1,60, 64,4,1,0,    0
22680,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
22681,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,1,2,0,    0
22682,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,3,2,0,    0
22683,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,0,2,0,    0
22684,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,3,2,0,    0,2, 0,  0,3,2,0,    0
22685,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,4,2,0,    0
22686,1.59000000000000008e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,3,2,0,    0
22687,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,5,2,0,    0,2, 0,  0,6,2,0,    0
22688,1.59000000000000008e+00, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,5,2,0,    0
22689,1.06000000000000005e+00, 1,28,  0,3, 1,28,  0,3,5, 0,  0,9,9,0,    0,5, 0,  0,9,9,0,    0
22690,1.06000000000000005e+00, 1,22,  0,3, 1,22,  0,3,1,14,  0,1,1,0,    0,1,14,  0,5,1,0,    0
22691,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,3,2,0,    0
22692,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,9,99,999,9,9,0,    0,2, 0,  0,8,2,0,    0
22693,5.30000000000000027e-01, 4, 0,  0,3, 1,60, 68,1,1,60, 68,7,1,0,    0,1,60, 68,7,1,0,    0
22694,5.30000000000000027e-01, 1,70,  0,2, 1,60, 68,1,4, 0,  0,0,3,0,    0,1,60, 68,7,1,0,    0
22695,5.30000000000000027e-01, 1,22,  0,3, 1,22,  0,3,1,22,  0,2,3,0,    0,1,22,  0,6,3,0,    0
22696,1.06000000000000005e+00, 1,14,  0,1, 1,14,  0,1,1,14,  0,3,1,0,    0,1,22,  0,6,3,0,    0
22697,2.12999999999999989e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,6,2,0,    0
22698,1.06000000000000005e+00, 1,60, 64,1, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
22699,1.06000000000000005e+00, 5, 0,  0,9, 5, 0,  0,9,4, 0,  0,0,3,0,    0,1,18,  0,0,1,0,    0
22700,1.59000000000000008e+00, 1,60, 35,1, 1,99,999,9,1,14,  0,0,1,0,    0,1,60, 35,7,1,0,    0
22701,1.06000000000000005e+00, 1,18,  0,1, 1,22,  0,3,0, 0,  0, ,0,0,    0,1,22,  0,6,3,0,    0
22702,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
22703,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,2,2,0,    0,1,60, 35,4,1,0,    0
22704,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,5,2,0,    0
22705,5.30000000000000027e-01, 1,15,  0,1, 1,14,  0,1,0, 0,  0, ,0,0,    0,1,14,  0,7,1,0,    0
22706,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
