CASEID,YEAR,VERSION,COMPWT,SEX,AGE,RACE,SRCBELT,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,WEBTV,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
38257,2000,5,5.50000000000000044e-01,1,76,1,1, 1, 2, 0,0,0,0,0, 0, 7,26.7, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38258,2000,2,5.50000000000000044e-01,2,70,2,1, 1, 1,18,0,0,0,0, 0,11,38.9, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38259,2000,4,5.50000000000000044e-01,2,87,2,1, 1, 1,18,0,0,0,0, 0, 7,22.5, 6,98,0,2,0,2, -1,-1,0, -1,-1
38260,2000,3,5.50000000000000044e-01,2,70,1,1, 2, 2, 0,0,0,0,0, 0, 9,21.2, 6, 0,0,0,0,0, -1,-1,0, -1,-1
38261,2000,1,5.50000000000000044e-01,2,78,1,1, 1, 1,21,0,0,0,0, 0, 9,28.4, 6, 0,0,2,0,2, -1,-1,0, -1,-1
38262,2000,6,1.10000000000000009e+00,2,32,2,2, 4, 1,10,0,0,0,0, 0,14,64.8,12,10,0,1,0,0,  0, 0,2, -1,-1
38263,2000,6,5.50000000000000044e-01,2,58,2,2, 1, 2, 0,0,0,0,0, 0,12,78.5, 2, 2,0,1,0,0,  0, 0,1,  5, 0
38264,2000,1,5.50000000000000044e-01,2,29,2,2, 4, 1,10,0,0,0,0, 0,12,53.3, 8, 8,0,1,0,0,  0, 0,2, -1,-1
38265,2000,3,5.50000000000000044e-01,2,39,2,2, 1, 1,18,0,0,0,0, 0,16,63.5,12,12,0,0,0,0, -1,-1,0, -1,-1
38266,2000,2,5.50000000000000044e-01,2,44,2,2, 1, 1,20,0,0,0,0, 0,12,33.1, 8, 0,0,1,0,0,  0, 0,2, -1,-1
38267,2000,5,1.10000000000000009e+00,2,40,3,2, 4, 1,60,0,0,0,0, 0,14,63.5,12,12,0,1,0,0,  1, 0,2, -1,-1
38268,2000,1,5.50000000000000044e-01,2,36,3,2, 2, 2, 0,0,0,0,0, 0,11,-1.0,98, 0,0,2,0,2, -1,-1,0, -1,-1
38269,2000,4,2.20000000000000018e+00,1,52,1,3, 2, 2, 0,0,0,0,0, 0,14,36.9,13,13,0,1,0,0,  3, 0,1,  5, 0
38270,2000,3,1.10000000000000009e+00,2,41,1,3, 1, 1,10,0,0,0,0, 0,12,36.5,12,11,0,0,0,0, -1,-1,0, -1,-1
38271,2000,2,1.10000000000000009e+00,2,48,2,3, 1, 1,18,0,0,0,0, 0,13,67.0,12,12,0,1,0,0,  0, 5,1,  1, 0
38272,2000,1,1.10000000000000009e+00,1,33,1,3, 4, 1,18,0,0,0,0, 0,14,32.3,12,11,0,1,0,0,  1, 0,1, 10, 0
38273,2000,6,1.64999999999999991e+00,2,65,1,3, 2, 2, 0,0,0,0,0, 0,12,73.6,12, 0,0,1,0,0,  5, 0,1,  2, 0
38274,2000,3,1.10000000000000009e+00,1,41,1,3, 2, 2, 0,0,0,0,0, 0,12,28.4,12,12,0,0,0,0, -1,-1,0, -1,-1
38275,2000,5,2.20000000000000018e+00,1,58,1,3, 1, 1,11,0,0,0,0, 0,20,63.5,12,12,0,1,0,0,  1, 0,1,  1, 0
38276,2000,5,2.20000000000000018e+00,2,48,1,3, 2, 2, 0,0,0,0,0, 0,16,78.5,12,12,0,2,0,2, -1,-1,0, -1,-1
38277,2000,4,1.10000000000000009e+00,2,63,2,3, 1,99,99,0,0,0,0, 0,12,69.2,12, 0,0,2,0,2, -1,-1,0, -1,-1
38278,2000,3,1.10000000000000009e+00,2,43,1,3, 1, 2, 0,0,0,0,0, 0,12,28.4,12,10,0,0,0,0, -1,-1,0, -1,-1
38279,2000,6,1.10000000000000009e+00,2,62,1,3, 1, 1,48,0,0,0,0, 0,10,28.4,10, 9,0,2,0,2, -1,-1,0, -1,-1
38280,2000,6,5.50000000000000044e-01,1,48,1,3, 2, 2, 0,0,0,0,0, 0,16,53.3,12,12,0,1,0,0,  0, 5,1,  0,30
