CASEID,COMPWT,AGE,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9
21956,1.06000000000000005e+00,35, 3, 0,  0,3, 2, 0,  0,2,2, 0,  0,1,2,0,    0,2, 0,  0,2,2,0,    0, 3, 0,  0,0,3,3, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21957,5.30000000000000027e-01,41, 1,18,  0,1, 1,18,  0,1,1,18,  0,7,1,0,    0,2, 0,  0,6,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21958,5.30000000000000027e-01,47, 1,60, 35,1, 1,14,  0,1,1,14,  0,3,1,0,    0,1,14,  0,6,1,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21959,1.06000000000000005e+00,25, 1,70,  0,2, 1,70,  0,2,1,70,  0,6,2,0,    0,1,70,  0,7,2,0,    0, 1,70,  0,7,2,1,70,   0,   0,   0,   0,   0,   0,   0,   0,   0
21960,2.12999999999999989e+00,45, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0, 2, 0,  0,4,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21961,1.59000000000000008e+00,29, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0, 2, 0,  0,5,2,1,70,   0,   0,   0,   0,   0,   0,   0,   0,   0
21962,1.59000000000000008e+00,21, 1,70,  0,2, 1,70,  0,2,1,15,  0,6,1,0,    0,1,70,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21963,5.30000000000000027e-01,30, 5, 0,  0,9, 5, 0,  0,9,5, 0,  0,1,9,0,    0,5, 0,  0,8,9,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21964,1.06000000000000005e+00,20, 2, 0,  0,2, 2, 0,  0,2,4, 0,  0,0,3,0,    0,2, 0,  0,7,2,0,    0, 1,60, 31,2,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21965,5.30000000000000027e-01,81, 1,38,  0,2, 1,60, 71,2,1,60, 71,7,2,0,    0,1,60, 71,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21966,5.30000000000000027e-01,31, 1,99,999,9, 1,32,  0,1,1,32,  0,7,1,0,    0,1,32,  0,7,1,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21967,1.06000000000000005e+00,79, 1,70,  0,2, 1,70,  0,2,1,70,  0,9,2,0,    0,1,70,  0,9,2,0,    0, 2, 0,  0,7,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21968,1.06000000000000005e+00,58, 1,60, 40,3, 1,50,  0,3,1,50,  0,7,3,0,    0,1,50,  0,7,3,0,    0, 1,50,  0,2,3,1,50,   0,   0,   0,   0,   0,   0,   0,   0,   0
21969,1.59000000000000008e+00,20, 2, 0,  0,2, 2, 0,  0,2,1,60,  3,1,1,0,    0,2, 0,  0,1,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21970,5.30000000000000027e-01,30, 1,48,  0,3, 1,48,  0,3,1,48,  0,7,3,0,    0,1,48,  0,7,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21971,1.06000000000000005e+00,28, 1,34,  0,2, 1,34,  0,2,1,34,  0,7,2,0,    0,1,34,  0,7,2,0,    0, 1,42,  0,2,1,1,42,   0,   0,   0,   0,   0,   0,   0,   0,   0
21972,5.30000000000000027e-01,67, 3, 0,  0,3, 3, 0,  0,3,0, 0,  0, ,0,0,    0,3, 0,  0,3,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21973,5.30000000000000027e-01,26, 5, 0,  0,9, 5, 0,  0,9,5, 0,  0,3,9,0,    0,5, 0,  0,3,9,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21974,5.30000000000000027e-01,41, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,0,    0,5, 0,  0,0,9,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21975,5.30000000000000027e-01,48, 5, 0,  0,9, 1,15,  0,1,0, 0,  0, ,0,0,    0,4, 0,  0,0,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21976,1.06000000000000005e+00,28, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21977,1.06000000000000005e+00,29, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,2,2,0,    0,2, 0,  0,5,2,0,    0, 2, 0,  0,7,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21978,5.30000000000000027e-01,52, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21979,5.30000000000000027e-01,41, 5, 0,  0,9, 1,34,  0,2,4, 0,  0,0,3,0,    0,1,34,  0,1,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21980,5.30000000000000027e-01,41, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21981,5.30000000000000027e-01,28, 1,32,  0,1, 1,32,  0,1,1,32,  0,7,1,0,    0,1,32,  0,7,1,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21982,5.30000000000000027e-01,43, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21983,5.30000000000000027e-01,33, 4, 0,  0,3, 1,30,  0,2,1,30,  0,7,2,0,    0,1,30,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
